ADC—Add
14 ib                    |ADC AL, imm8
0F B1/r                  |CMPXCHG r/m16, r16
0F B1/r                  |CMPXCHG r/m32, r32
REX.W + 0F B1/r          |CMPXCHG r/m64, r64
CMPXCHG8B/CMPXCHG16B—Compare
0F C7 /1                 |CMPXCHG8B m64
REX.W + 0F C7 /1         |CMPXCHG16B m128
CPUID—CPU
0F A2                    |CPUID
CRC32—Accumulate
F2 0F 38 F0 /r           |CRC32 r32, r/m8
F2 REX 0F 38 F0 /r       |CRC32 r32, r/m8
F2 0F 38 F1 /r           |CRC32 r32, r/m16
F2 0F 38 F1 /r           |CRC32 r32, r/m32
F2 REX.W 0F 38 F0 /r     |CRC32 r64, r/m8
F2 REX.W 0F 38 F1 /r     |CRC32 r64, r/m64
CVTPI2PD—Convert
66 0F 2A /r              |CVTPI2PD xmm, mm/m64
CVTPI2PS—Convert
NP 0F 2A /r              |CVTPI2PS xmm, mm/m64
CVTPS2PI—Convert
NP 0F 2D /r              |CVTPS2PI mm, xmm/m64
CVTTPD2PI—Convert
66 0F 2C /r              |CVTTPD2PI mm, xmm/m128
CVTTPS2PI—Convert
NP 0F 2C /r              |CVTTPS2PI mm, xmm/m64
CWD/CDQ/CQO—Convert
99                       |CWD
99                       |CDQ
REX.W + 99               |CQO
DEC—Decrement
FE /1                    |DEC r/m8
REX + FE /1              |DEC r/m8
FF /1                    |DEC r/m16
FF /1                    |DEC r/m32
REX.W + FF /1            |DEC r/m64
DIV—Unsigned
F6 /6                    |DIV r/m8
REX + F6 /6              |DIV r/m8
F7 /6                    |DIV r/m16
F7 /6                    |DIV r/m32
REX.W + F7 /6            |DIV r/m64
EMMS—Empty
NP 0F 77                 |EMMS
ENTER—Make
C8 iw 00                 |ENTER imm16, 0
C8 iw 01                 |ENTER imm16,1
C8 iw ib                 |ENTER imm16, imm8
F2XM1—Compute
D9 F0                    |F2XM1
FABS—Absolute
D9 E1                    |FABS
FADD/FADDP/FIADD—Add
D8 /0                    |FADD m32fp
DC /0                    |FADD m64fp
D8 C0+i                  |FADD ST(0), ST(i)
DC C0+i                  |FADD ST(i), ST(0)
DE C0+i                  |FADDP ST(i), ST(0)
DE C1                    |FADDP
DA /0                    |FIADD m32int
DE /0                    |FIADD m16int
FBLD—Load
DF /4                    |FBLD m80bcd
FBSTP—Store
DF /6                    |FBSTP m80bcd
FCHS—Change
D9 E0                    |FCHS
FCLEX/FNCLEX—Clear
9B DB E2                 |FCLEX
DB E2                    |FNCLEX1
FCMOVcc—Floating-Point
DA C0+i                  |FCMOVB ST(0), ST(i)
DA C8+i                  |FCMOVE ST(0), ST(i)
DA D0+i                  |FCMOVBE ST(0), ST(i)
DA D8+i                  |FCMOVU ST(0), ST(i)
DB C0+i                  |FCMOVNB ST(0), ST(i)
DB C8+i                  |FCMOVNE ST(0), ST(i)
DB D0+i                  |FCMOVNBE ST(0), ST(i)
DB D8+i                  |FCMOVNU ST(0), ST(i)
FCOM/FCOMP/FCOMPP—Compare
D8 /2                    |FCOM m32fp
DC /2                    |FCOM m64fp
D8 D0+i                  |FCOM ST(i)
D8 D1                    |FCOM
D8 /3                    |FCOMP m32fp
DC /3                    |FCOMP m64fp
D8 D8+i                  |FCOMP ST(i)
D8 D9                    |FCOMP
DE D9                    |FCOMPP
FCOS—Cosine
D9 FF                    |FCOS
FDECSTP—Decrement
D9 F6                    |FDECSTP
FDIV/FDIVP/FIDIV—Divide
D8 /6                    |FDIV m32fp
DC /6                    |FDIV m64fp
D8 F0+i                  |FDIV ST(0), ST(i)
DC F8+i                  |FDIV ST(i), ST(0)
DE F8+i                  |FDIVP ST(i), ST(0)
DE F9                    |FDIVP
DA /6                    |FIDIV m32int
DE /6                    |FIDIV m16int
FDIVR/FDIVRP/FIDIVR—Reverse
D8 /7                    |FDIVR m32fp
DC /7                    |FDIVR m64fp
D8 F8+i                  |FDIVR ST(0), ST(i)
DC F0+i                  |FDIVR ST(i), ST(0)
DE F0+i                  |FDIVRP ST(i), ST(0)
DE F1                    |FDIVRP
DA /7                    |FIDIVR m32int
DE /7                    |FIDIVR m16int
FFREE—Free
DD C0+i                  |FFREE ST(i)
FICOM/FICOMP—Compare
DE /2                    |FICOM m16int
DA /2                    |FICOM m32int
DE /3                    |FICOMP m16int
DA /3                    |FICOMP m32int
FILD—Load
DF /0                    |FILD m16int
DB /0                    |FILD m32int
DF /5                    |FILD m64int
FINCSTP—Increment
D9 F7                    |FINCSTP
FINIT/FNINIT—Initialize
9B DB E3                 |FINIT
DB E3                    |FNINIT1
FIST/FISTP—Store
DF /2                    |FIST m16int
DB /2                    |FIST m32int
DF /3                    |FISTP m16int
DB /3                    |FISTP m32int
DF /7                    |FISTP m64int
FISTTP—Store
DF /1                    |FISTTP m16int
DB /1                    |FISTTP m32int
DD /1                    |FISTTP m64int
FLD—Load
D9 /0                    |FLD m32fp
DD /0                    |FLD m64fp
DB /5                    |FLD m80fp
D9 C0+i                  |FLD ST(i)
FLD1/FLDL2T/FLDL2E/FLDPI/FLDLG2/FLDLN2/FLDZ—Load
D9 E8                    |FLD1
D9 E9                    |FLDL2T
D9 EA                    |FLDL2E
D9 EB                    |FLDPI
D9 EC                    |FLDLG2
D9 ED                    |FLDLN2
D9 EE                    |FLDZ
FLDCW—Load
D9 /5                    |FLDCW m2byte
FLDENV—Load
D9 /4                    |FLDENV m14/28byte
FMUL/FMULP/FIMUL—Multiply
D8 /1                    |FMUL m32fp
DC /1                    |FMUL m64fp
D8 C8+i                  |FMUL ST(0), ST(i)
DC C8+i                  |FMUL ST(i), ST(0)
DE C8+i                  |FMULP ST(i), ST(0)
DE C9                    |FMULP
DA /1                    |FIMUL m32int
DE /1                    |FIMUL m16int
FNOP—No
D9 D0                    |FNOP
FPATAN—Partial
D9 F3                    |FPATAN
FPREM—Partial
D9 F8                    |FPREM
FPREM1—Partial
D9 F5                    |FPREM1
FPTAN—Partial
D9 F2                    |FPTAN
FRNDINT—Round
D9 FC                    |FRNDINT
FRSTOR—Restore
DD /4                    |FRSTOR m94/108byte
FSAVE/FNSAVE—Store
9B DD /6                 |FSAVE m94/108byte
DD /6                    |FNSAVE1 m94/108byte
FSCALE—Scale
D9 FD                    |FSCALE
FSIN—Sine
D9 FE                    |FSIN
FSINCOS—Sine
D9 FB                    |FSINCOS
FSQRT—Square
D9 FA                    |FSQRT
FST/FSTP—Store
D9 /2                    |FST m32fp
DD /2                    |FST m64fp
DD D0+i                  |FST ST(i)
D9 /3                    |FSTP m32fp
DD /3                    |FSTP m64fp
DB /7                    |FSTP m80fp
DD D8+i                  |FSTP ST(i)
FSTCW/FNSTCW—Store
9B D9 /7                 |FSTCW m2byte
D9 /7                    |FNSTCW1 m2byte
FSTENV/FNSTENV—Store
9B D9 /6                 |FSTENV m14/28byte
D9 /6                    |FNSTENV1 m14/28byte
FSTSW/FNSTSW—Store
9B DD /7                 |FSTSW m2byte
9B DF E0                 |FSTSW AX
DD /7                    |FNSTSW1 m2byte
DF E0                    |FNSTSW1 AX
FSUB/FSUBP/FISUB—Subtract
D8 /4                    |FSUB m32fp
DC /4                    |FSUB m64fp
D8 E0+i                  |FSUB ST(0), ST(i)
DC E8+i                  |FSUB ST(i), ST(0)
DE E8+i                  |FSUBP ST(i), ST(0)
DE E9                    |FSUBP
DA /4                    |FISUB m32int
DE /4                    |FISUB m16int
FSUBR/FSUBRP/FISUBR—Reverse
D8 /5                    |FSUBR m32fp
DC /5                    |FSUBR m64fp
D8 E8+i                  |FSUBR ST(0), ST(i)
DC E0+i                  |FSUBR ST(i), ST(0)
DE E0+i                  |FSUBRP ST(i), ST(0)
DE E1                    |FSUBRP
DA /5                    |FISUBR m32int
DE /5                    |FISUBR m16int
FTST—TEST
D9 E4                    |FTST
FUCOM/FUCOMP/FUCOMPP—Unordered
DD E0+i                  |FUCOM ST(i)
DD E1                    |FUCOM
DD E8+i                  |FUCOMP ST(i)
DD E9                    |FUCOMP
DA E9                    |FUCOMPP
FXAM—Examine
D9 E5                    |FXAM
FXCH—Exchange
D9 C8+i                  |FXCH ST(i)
D9 C9                    |FXCH
FXRSTOR—Restore
NP 0F AE /1              |FXRSTOR m512byte
NP REX.W + 0F AE /1      |FXRSTOR64 m512byte
FXSAVE—Save
NP 0F AE /0              |FXSAVE m512byte
NP REX.W + 0F AE /0      |FXSAVE64 m512byte
FXTRACT—Extract
D9 F4                    |FXTRACT
FYL2X—Compute
D9 F1                    |FYL2X
FYL2XP1—Compute
D9 F9                    |FYL2XP1
HLT—Halt
F4                       |HLT
IDIV—Signed
F6 /7                    |IDIV r/m8
REX + F6 /7              |IDIV r/m8
F7 /7                    |IDIV r/m16
F7 /7                    |IDIV r/m32
REX.W + F7 /7            |IDIV r/m64
IMUL—Signed
F6 /5                    |IMUL r/m8
F7 /5                    |IMUL r/m16
F7 /5                    |IMUL r/m32
REX.W + F7 /5            |IMUL r/m64
0F AF /r                 |IMUL r16, r/m16
0F AF /r                 |IMUL r32, r/m32
REX.W + 0F AF /r         |IMUL r64, r/m64
6B /r ib                 |IMUL r16, r/m16, imm8
6B /r ib                 |IMUL r32, r/m32, imm8
REX.W + 6B /r ib         |IMUL r64, r/m64, imm8
69 /r iw                 |IMUL r16, r/m16, imm16
69 /r id                 |IMUL r32, r/m32, imm32
REX.W + 69 /r id         |IMUL r64, r/m64, imm32
IN—Input
E4 ib                    |IN AL, imm8
E5 ib                    |IN AX, imm8
E5 ib                    |IN EAX, imm8
EC                       |IN AL,DX
ED                       |IN AX,DX
ED                       |IN EAX,DX
INC—Increment
FE /0                    |INC r/m8
REX + FE /0              |INC r/m8
FF /0                    |INC r/m16
FF /0                    |INC r/m32
REX.W + FF /0            |INC r/m64
INS/INSB/INSW/INSD—Input
6C                       |INS m8, DX
6D                       |INS m16, DX
6D                       |INS m32, DX
6C                       |INSB
6D                       |INSW
6D                       |INSD
INVD—Invalidate
0F 08                    |INVD
INVLPG—Invalidate
0F 01/7                  |INVLPG m
IRET/IRETD/IRETQ—Interrupt
CF                       |IRET
CF                       |IRETD
REX.W + CF               |IRETQ
Jcc—Jump
77 cb                    |JA rel8
73 cb                    |JAE rel8
72 cb                    |JB rel8
76 cb                    |JBE rel8
72 cb                    |JC rel8
E3 cb                    |JECXZ rel8
E3 cb                    |JRCXZ rel8
74 cb                    |JE rel8
7F cb                    |JG rel8
7D cb                    |JGE rel8
7C cb                    |JL rel8
7E cb                    |JLE rel8
76 cb                    |JNA rel8
72 cb                    |JNAE rel8
73 cb                    |JNB rel8
77 cb                    |JNBE rel8
73 cb                    |JNC rel8
75 cb                    |JNE rel8
7E cb                    |JNG rel8
7C cb                    |JNGE rel8
7D cb                    |JNL rel8
7F cb                    |JNLE rel8
71 cb                    |JNO rel8
7B cb                    |JNP rel8
79 cb                    |JNS rel8
75 cb                    |JNZ rel8
70 cb                    |JO rel8
7A cb                    |JP rel8
7A cb                    |JPE rel8
7B cb                    |JPO rel8
78 cb                    |JS rel8
74 cb                    |JZ rel8
0F 87 cd                 |JA rel32
0F 83 cd                 |JAE rel32
Jcc—Jump
0F 82 cd                 |JB rel32
0F 86 cd                 |JBE rel32
0F 82 cd                 |JC rel32
0F 84 cd                 |JE rel32
0F 84 cd                 |JZ rel32
0F 8F cd                 |JG rel32
0F 8D cd                 |JGE rel32
0F 8C cd                 |JL rel32
0F 8E cd                 |JLE rel32
0F 86 cd                 |JNA rel32
0F 82 cd                 |JNAE rel32
0F 83 cd                 |JNB rel32
0F 87 cd                 |JNBE rel32
0F 83 cd                 |JNC rel32
Jcc—Jump
0F 85 cd                 |JNE rel32
0F 8E cd                 |JNG rel32
0F 8C cd                 |JNGE rel32
0F 8D cd                 |JNL rel32
0F 8F cd                 |JNLE rel32
0F 81 cd                 |JNO rel32
0F 8B cd                 |JNP rel32
0F 89 cd                 |JNS rel32
0F 85 cd                 |JNZ rel32
0F 80 cd                 |JO rel32
0F 8A cd                 |JP rel32
0F 8A cd                 |JPE rel32
0F 8B cd                 |JPO rel32
0F 88 cd                 |JS rel32
0F 84 cd                 |JZ rel32
JMP—Jump
EB cb                    |JMP rel8
E9 cd                    |JMP rel32
FF /4                    |JMP r/m64
FF /5                    |JMP m16:16
FF /5                    |JMP m16:32
REX.W FF /5              |JMP m16:64
LAR—Load
0F 02 /r                 |LAR r16, r16/m16
0F 02 /r                 |LAR reg, r32/m16
LDS/LES/LFS/LGS/LSS—Load
0F B2 /r                 |LSS r16,m16:16
0F B2 /r                 |LSS r32,m16:32
REX + 0F B2 /r           |LSS r64,m16:64
0F B4 /r                 |LFS r16,m16:16
0F B4 /r                 |LFS r32,m16:32
REX + 0F B4 /r           |LFS r64,m16:64
0F B5 /r                 |LGS r16,m16:16
0F B5 /r                 |LGS r32,m16:32
REX + 0F B5 /r           |LGS r64,m16:64
LEA—Load
8D /r                    |LEA r16,m
8D /r                    |LEA r32,m
REX.W + 8D /r            |LEA r64,m
LEAVE—High
C9                       |LEAVE
C9                       |LEAVE
LGDT/LIDT—Load
0F 01 /2                 |LGDT m16&64
0F 01 /3                 |LIDT m16&64
LLDT—Load
0F 00 /2                 |LLDT r/m16
LMSW—Load
0F 01 /6                 |LMSW r/m16
LOCK—Assert
F0                       |LOCK
LODS/LODSB/LODSW/LODSD/LODSQ—Load
AC                       |LODS m8
AD                       |LODS m16
AD                       |LODS m32
REX.W + AD               |LODS m64
AC                       |LODSB
AD                       |LODSW
AD                       |LODSD
REX.W + AD               |LODSQ
LOOP/LOOPcc—Loop
E2 cb                    |LOOP rel8
E1 cb                    |LOOPE rel8
E0 cb                    |LOOPNE rel8
LSL—Load
0F 03 /r                 |LSL r16, r16/m16
0F 03 /r                 |LSL r32, r32/m16
REX.W + 0F 03 /r         |LSL r64, r32/m16
LTR—Load
0F 00 /3                 |LTR r/m16
MASKMOVQ—Store
NP 0F F7 /r              |MASKMOVQ mm1, mm2
MONITOR—Set
0F 01 C8                 |MONITOR
MOV—Move
88 /r                    |MOV r/m8, r8
REX + 88 /r              |MOV r/m8, r8
89 /r                    |MOV r/m16, r16
89 /r                    |MOV r/m32, r32
REX.W + 89 /r            |MOV r/m64, r64
8A /r                    |MOV r8, r/m8
REX + 8A /r              |MOV r8, r/m8
8B /r                    |MOV r16, r/m16
8B /r                    |MOV r32, r/m32
REX.W + 8B /r            |MOV r64, r/m64
8C /r                    |MOV r/m16, Sreg
8C /r                    |MOV r16/r32/m16, Sreg
REX.W + 8C /r            |MOV r64/m16, Sreg
8E /r                    |MOV Sreg, r/m16
REX.W + 8E /r            |MOV Sreg, r/m64
A0                       |MOV AL, moffs8
REX.W + A0               |MOV AL, moffs8
A1                       |MOV AX, moffs16
A1                       |MOV EAX, moffs32
REX.W + A1               |MOV RAX, moffs64
A2                       |MOV moffs8, AL
REX.W + A2               |MOV moffs8, AL
A3                       |MOV moffs16, AX
A3                       |MOV moffs32, EAX
REX.W + A3               |MOV moffs64, RAX
B0+ rb ib                |MOV r8, imm8
REX + B0+ rb ib          |MOV r8, imm8
B8+ rw iw                |MOV r16, imm16
B8+ rd id                |MOV r32, imm32
REX.W + B8+ rd io        |MOV r64, imm64
C6 /0 ib                 |MOV r/m8, imm8
REX + C6 /0 ib           |MOV r/m8, imm8
C7 /0 iw                 |MOV r/m16, imm16
C7 /0 id                 |MOV r/m32, imm32
REX.W + C7 /0 id         |MOV r/m64, imm32
MOV—Move
0F 20/r                  |MOV r64, CR0–CR7
REX.R + 0F 20 /0         |MOV r64, CR8
0F 22 /r                 |MOV CR0–CR7, r64
REX.R + 0F 22 /0         |MOV CR8, r64
MOV—Move
0F 21/r                  |MOV r64, DR0–DR7
0F 23 /r                 |MOV DR0–DR7, r64
MOVDQ2Q—Move
F2 0F D6 /r              |MOVDQ2Q mm, xmm
MOVNTQ—Store
NP 0F E7 /r              |MOVNTQ m64, mm
MOVS/MOVSB/MOVSW/MOVSD/MOVSQ—Move
A4                       |MOVS m8, m8
A5                       |MOVS m16, m16
A5                       |MOVS m32, m32
REX.W + A5               |MOVS m64, m64
A4                       |MOVSB
A5                       |MOVSW
A5                       |MOVSD
REX.W + A5               |MOVSQ
MOVSX/MOVSXD—Move
0F BE /r                 |MOVSX r16, r/m8
0F BE /r                 |MOVSX r32, r/m8
REX.W + 0F BE /r         |MOVSX r64, r/m8
0F BF /r                 |MOVSX r32, r/m16
REX.W + 0F BF /r         |MOVSX r64, r/m16
63 /r                    |MOVSXD r16, r/m16
63 /r                    |MOVSXD r32, r/m32
REX.W + 63 /r            |MOVSXD r64, r/m32
MOVZX—Move
0F B6 /r                 |MOVZX r16, r/m8
0F B6 /r                 |MOVZX r32, r/m8
REX.W + 0F B6 /r         |MOVZX r64, r/m8
0F B7 /r                 |MOVZX r32, r/m16
REX.W + 0F B7 /r         |MOVZX r64, r/m16
MUL—Unsigned
F6 /4                    |MUL r/m8
REX + F6 /4              |MUL r/m8
F7 /4                    |MUL r/m16
